20250 1.06114074261218616e+00 1.33158917004934318e+00 -3.71248787223969756e-03 -2.16304737112992668e-05
20350 1.00432274091656204e+00 1.28671596997247062e+00 -3.56203302009493964e-03 2.83301432029772760e-05
20450 9.59921073198180763e-01 1.23034946655882682e+00 -3.40889197872950179e-03 -1.99148943712083859e-05
20550 9.20238213698666097e-01 1.18826437648775829e+00 -3.30304890326767273e-03 2.61979965371413742e-05
20650 8.82396554825790602e-01 1.13575174925437650e+00 -3.16573231899197702e-03 -1.83581129451441255e-05
20750 8.45665428984909262e-01 1.09628903210419426e+00 -3.06613610482083573e-03 2.42497074143315991e-05
20850 8.10749609968624885e-01 1.04733476988462826e+00 -2.93600256194097471e-03 -1.69410706616036563e-05
20950 7.76637286797092430e-01 1.01033442574355226e+00 -2.84197526030589582e-03 2.24650446530071449e-05
21050 7.44381198295379742e-01 9.64262460375107655e-01 -2.71889013268243780e-03 -1.55867209996529352e-05
21150 7.12699362906389244e-01 9.26810732140591953e-01 -2.63017726816973732e-03 2.11780845062979617e-05
21250 6.82870540148109773e-01 8.78042238792229868e-01 -2.51396068462059110e-03 -1.38971820972857291e-05
21350 6.53441684176080617e-01 8.39401202632226284e-01 -2.43031156293791167e-03 1.96661036165231284e-05
21450 6.25830691794174276e-01 7.96553861422022003e-01 -2.32073095475759331e-03 -1.32692008640716841e-05
21550 5.98485756239213629e-01 7.65116723204690707e-01 -2.24188881526932692e-03 1.79627218114264409e-05
21650 5.72901484757799118e-01 7.27650969135967163e-01 -2.13867014585378615e-03 -1.23693000781896489e-05
21750 5.47482638917695330e-01 6.98959536909489976e-01 -2.06438330119039851e-03 1.66525654700325904e-05
21850 5.23753913717483699e-01 6.64314833963466023e-01 -1.96723703001760271e-03 -1.14807537329548667e-05
21950 5.00114633880544890e-01 6.37749942056137553e-01 -1.89725978139964951e-03 1.54480107216374909e-05
22050 4.78007929441353285e-01 6.05683670808504160e-01 -1.80556466092620391e-03 -1.06550665996260271e-05
22150 4.55425201983033434e-01 5.81080477357129976e-01 -1.73732735294604727e-03 1.43370181284671605e-05
