# Generated by tools/models/build_manifest.py - do not edit by hand.
# One row per SPICE definition found in models/spice/.
# restricted=1 means the defining file is marked non-shippable by
# tools/models/license_audit.py, even where its pack is otherwise usable.
# name	kind	device	pack	path	line	restricted
100350	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5686	0
100351	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5733	0
100351	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5733	0
100352	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5785	0
100352	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5785	0
100353	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5824	0
100353	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5824	0
100354	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5897	0
100354	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5897	0
100355	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	5975	0
100355	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	5975	0
100360	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6087	0
100360	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6087	0
100363	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6147	0
100363	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6147	0
100364	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6208	0
100364	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6208	0
100370	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6271	0
100370	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6271	0
100371	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6353	0
100371	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6353	0
100391	subckt	subckt	microcap-library	upstream/incompatible/ecl.lib	6437	0
100391	subckt	subckt	ngspice-models-ugr	upstream/spice_complete/ecl.lib	6437	0
